dataset,n_samples,n_features,param_family_mode,tau_mult,min_region_size,family_dbscan_eps,pair,balacc,precision,recall,f1,winning_planes,candidates_pair,candidates_global,regions_global
highdim_large,12000,28,dbscan,0.75,35,0.3,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,593,593,593
mixed_easy,4500,12,greedy,0.5,20,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,275,275,275
mixed_easy,4500,12,greedy,0.5,20,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,275,275,275
mixed_easy,4500,12,greedy,0.5,20,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,275,275,275
mixed_easy,4500,12,greedy,0.75,35,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,269,269,269
mixed_easy,4500,12,greedy,0.75,35,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,269,269,269
mixed_easy,4500,12,greedy,0.75,35,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,269,269,269
mixed_easy,4500,12,connected,0.5,20,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,273,273,273
mixed_easy,4500,12,connected,0.5,20,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,273,273,273
mixed_easy,4500,12,connected,0.5,20,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,273,273,273
mixed_easy,4500,12,connected,0.75,35,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,265,265,265
mixed_easy,4500,12,connected,0.75,35,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,265,265,265
mixed_easy,4500,12,connected,0.75,35,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,265,265,265
mixed_easy,4500,12,dbscan,0.5,20,0.3,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,273,273,273
mixed_easy,4500,12,dbscan,0.5,20,0.3,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,273,273,273
mixed_easy,4500,12,dbscan,0.5,20,0.3,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,273,273,273
mixed_easy,4500,12,dbscan,0.75,35,0.3,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,265,265,265
mixed_easy,4500,12,dbscan,0.75,35,0.3,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,265,265,265
mixed_easy,4500,12,dbscan,0.75,35,0.3,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,265,265,265
