Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(area error, smoothness error)",No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,No,No,No,Si,No,No,0.86273
"(area error, texture error)",No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.865904
"(compactness error, concave points error)",No,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,Si,No,No,Si,Si,Si,Si,No,0.660754
"(compactness error, concave points error, concavity error)",No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,0.675734
"(compactness error, concave points error, mean compactness)",No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,0.828618
"(compactness error, concave points error, mean concave points)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.902464
"(compactness error, concave points error, mean concavity)",No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.864917
"(compactness error, concave points error, mean smoothness)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.70389
"(compactness error, concave points error, smoothness error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.681191
"(compactness error, concavity error)",No,No,No,No,Si,No,Si,No,Si,No,No,No,No,No,Si,No,No,Si,Si,Si,Si,No,0.550822
"(compactness error, concavity error, mean concavity)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.89667
"(compactness error, concavity error, mean fractal dimension)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.625398
"(compactness error, concavity error, mean radius)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.848294
